case;event;time;Resource
954;3;25.11.2011-13:30:24;4
955;0;21.02.2011-15:20:50;12
955;1;21.02.2011-15:21:46;12
955;2;08.03.2011-11:13:06;12
955;3;22.04.2011-10:13:34;4
956;0;06.07.2011-15:06:20;12
956;1;06.07.2011-15:06:38;12
956;2;06.07.2011-15:06:53;12
956;3;06.08.2011-15:10:23;4
957;0;13.02.2012-15:14:30;3
957;1;14.02.2012-11:48:30;12
957;5;22.02.2012-08:53:28;12
957;1;02.03.2012-10:56:58;12
957;2;02.03.2012-13:52:02;12
957;3;11.04.2012-07:21:24;4
958;0;10.12.2012-11:39:28;8
958;1;12.12.2012-16:22:08;3
958;2;15.01.2013-16:51:44;3
958;3;30.01.2013-16:51:56;2
959;0;06.07.2011-15:31:20;12
959;1;19.07.2011-08:01:01;9
959;2;21.07.2011-10:13:44;12
959;3;18.08.2011-15:40:36;4
960;0;11.06.2013-12:21:07;13
960;1;25.06.2013-10:51:45;1
960;5;27.06.2013-10:08:58;3
960;2;16.07.2013-08:28:58;3
960;3;31.07.2013-08:29:09;2
961;0;28.09.2012-15:42:27;0
961;1;01.10.2012-10:48:57;2
961;2;17.10.2012-12:49:01;12
961;3;01.11.2012-13:49:18;2
962;0;25.02.2013-13:51:42;3
962;1;13.03.2013-09:19:08;3
962;2;13.03.2013-10:31:35;3
962;3;28.03.2013-10:31:52;2
963;0;04.02.2013-08:05:18;8
963;1;07.02.2013-08:15:18;1
963;2;06.03.2013-15:33:17;1
963;3;21.03.2013-15:33:33;2
964;0;24.09.2010-10:37:58;8
964;1;28.09.2010-10:27:26;5
964;5;29.09.2010-09:57:47;11
964;1;01.10.2010-09:01:24;11
964;2;01.10.2010-09:54:21;11
964;3;15.11.2010-10:54:59;4
965;0;04.11.2010-08:30:46;14
965;1;08.11.2010-10:57:14;8
965;5;08.11.2010-10:57:35;8
965;1;22.11.2010-14:44:53;8
965;2;22.11.2010-14:45:04;8
965;3;07.12.2010-14:45:16;4
966;0;29.06.2012-10:59:16;0
966;1;02.07.2012-11:00:50;0
966;2;02.07.2012-13:18:10;0
966;3;02.08.2012-08:13:29;4
967;0;14.05.2012-14:48:40;0
967;1;14.05.2012-14:49:06;0
967;2;15.05.2012-07:34:15;8
967;3;14.06.2012-14:50:19;4
968;0;11.10.2011-15:52:13;0
968;0;11.10.2011-15:59:18;1
968;1;14.10.2011-07:30:59;5
968;2;14.10.2011-10:13:37;16
968;3;11.11.2011-17:00:52;4
969;0;08.05.2012-11:00:01;3
969;1;10.05.2012-15:53:22;0
969;2;10.05.2012-15:55:29;0
969;3;08.06.2012-11:00:32;4
970;4;30.06.2010-08:22:51;14
970;0;30.06.2010-08:23:17;14
970;1;30.06.2010-08:23:25;14
970;2;07.07.2010-16:33:55;14
970;3;13.08.2010-08:35:17;4
971;0;25.07.2012-15:38:49;12
971;1;26.07.2012-08:16:10;12
971;2;30.07.2012-12:07:10;12
971;3;09.09.2012-15:40:32;4
972;0;02.08.2010-15:40:51;8
972;0;03.08.2010-11:10:25;15
972;1;03.08.2010-11:10:37;15
972;2;06.08.2010-12:58:44;5
972;1;23.08.2010-08:54:24;15
972;5;27.08.2010-15:04:37;5
972;1;16.09.2010-13:57:16;5
972;2;16.09.2010-13:57:32;5
972;3;01.10.2010-13:57:52;4
973;0;05.01.2011-16:37:24;7
973;0;17.01.2011-16:17:14;1
973;1;17.01.2011-16:17:19;1
973;2;28.01.2011-10:34:14;12
973;3;12.02.2011-10:34:34;4
974;0;05.03.2012-10:14:32;0
974;1;05.03.2012-13:29:12;5
974;2;05.03.2012-16:52:14;11
974;2;05.03.2012-16:52:15;11
974;3;18.04.2012-09:20:32;4
975;0;11.01.2012-15:45:36;0
975;1;12.01.2012-14:17:06;1
975;2;13.01.2012-08:25:55;1
975;3;11.02.2012-15:50:18;4
976;0;24.09.2010-14:36:43;8
976;1;24.09.2010-14:36:57;8
976;5;24.09.2010-14:59:26;8
976;1;20.10.2010-14:53:10;13
976;2;22.10.2010-11:02:38;8
976;3;06.11.2010-12:02:55;4
977;0;05.10.2011-15:20:09;0
977;0;05.10.2011-15:23:42;0
977;1;05.10.2011-15:24:50;16
977;2;06.10.2011-08:10:06;16
977;3;18.11.2011-16:30:31;4
978;0;24.09.2013-07:31:20;0
978;1;24.09.2013-07:31:53;0
978;2;18.10.2013-15:33:59;0
978;3;02.11.2013-16:34:17;2
979;0;19.04.2013-16:00:59;0
979;0;15.05.2013-10:04:42;1
979;2;15.05.2013-10:05:53;1
979;3;30.05.2013-10:06:11;2
980;0;10.07.2012-10:42:30;0
980;1;10.07.2012-10:42:39;0
980;2;12.07.2012-08:25:33;0
980;2;12.07.2012-08:25:34;0
980;3;10.08.2012-10:50:34;4
981;0;11.11.2011-10:56:00;0
981;1;11.11.2011-11:16:00;0
981;2;11.11.2011-11:34:23;0
981;3;29.12.2011-11:00:34;4
982;0;08.03.2012-11:10:56;12
982;2;08.03.2012-11:11:48;12
982;3;10.04.2012-10:20:47;4
983;1;28.01.2013-15:11:17;0
983;2;15.02.2013-08:07:20;0
983;3;02.03.2013-08:07:34;2
984;0;25.08.2010-07:23:31;18
984;1;25.08.2010-10:54:48;16
984;2;25.08.2010-10:56:21;16
984;3;08.10.2010-07:30:39;4
985;0;22.04.2013-12:51:52;13
985;1;29.04.2013-07:50:34;11
985;5;29.04.2013-08:41:33;11
985;2;10.05.2013-07:24:20;11
985;3;25.05.2013-07:24:42;2
986;0;19.04.2010-12:49:41;1
986;1;21.04.2010-09:03:49;1
986;2;21.04.2010-12:29:17;1
986;1;21.04.2010-14:21:45;1
986;2;22.04.2010-08:03:28;1
986;3;04.06.2010-12:51:21;4
987;0;21.01.2013-15:09:45;12
987;1;07.02.2013-16:27:28;1
987;5;18.02.2013-08:07:33;8
987;2;18.02.2013-10:30:18;8
987;3;05.03.2013-10:30:29;2
988;0;12.02.2013-14:02:02;0
988;1;28.02.2013-11:36:52;1
988;5;28.02.2013-11:40:34;8
988;2;01.03.2013-10:22:10;8
988;3;16.03.2013-10:22:26;2
989;0;18.06.2012-10:46:34;12
989;1;19.06.2012-07:27:20;5
989;2;20.06.2012-08:09:59;5
989;3;02.08.2012-08:13:12;4
990;0;13.05.2011-12:28:23;7
990;1;13.05.2011-12:29:05;7
990;5;18.05.2011-07:02:46;5
990;1;07.06.2011-07:36:50;10
990;2;07.06.2011-07:36:56;10
990;3;06.07.2011-12:33:34;4
991;0;11.08.2010-12:32:48;11
991;1;02.09.2010-08:04:35;1
991;2;02.09.2010-08:05:33;1
991;3;17.09.2010-08:05:46;4
992;0;14.03.2011-11:11:23;7
992;1;14.03.2011-11:15:18;7
992;5;28.03.2011-08:41:55;1
992;1;30.03.2011-10:22:37;1
992;2;30.03.2011-10:22:49;1
992;3;16.04.2011-13:00:24;4
993;0;07.02.2011-16:49:00;8
993;1;08.02.2011-16:04:33;7
993;2;18.02.2011-14:37:11;1
993;3;02.04.2011-14:15:26;4
994;0;25.05.2011-08:48:31;7
994;1;25.05.2011-08:49:01;7
994;5;26.05.2011-09:53:17;5
994;1;01.07.2011-08:04:12;5
994;2;01.07.2011-08:14:34;5
994;3;16.07.2011-08:14:45;4
995;0;23.12.2010-13:51:43;7
995;1;27.12.2010-08:09:54;5
995;2;14.01.2011-09:31:54;5
995;3;29.01.2011-09:32:10;4
996;0;18.11.2011-13:35:12;0
996;1;21.11.2011-13:25:49;12
996;2;28.11.2011-15:39:07;12
996;3;21.12.2011-13:40:35;4
997;0;30.11.2012-11:57:13;8
997;1;30.11.2012-11:57:38;1
997;5;04.12.2012-09:55:27;8
997;2;20.12.2012-16:51:35;8
997;3;04.01.2013-16:51:50;2
998;0;12.02.2013-16:06:37;0
998;1;25.02.2013-11:37:20;11
998;2;14.03.2013-16:24:30;11
998;3;29.03.2013-16:24:45;2
999;0;21.01.2010-08:53:28;1
999;0;21.01.2010-08:53:34;1
999;1;21.01.2010-08:53:40;1
999;2;26.01.2010-14:06:53;1
999;3;06.03.2010-09:00:57;4
1000;0;08.03.2013-17:01:24;3
1000;1;25.03.2013-08:08:33;3
1000;2;28.03.2013-10:31:21;3
1000;3;12.04.2013-09:31:36;2
1001;0;25.08.2010-10:36:10;18
1001;1;27.08.2010-07:34:45;1
1001;2;27.08.2010-08:42:25;1
1001;3;25.09.2010-10:40:32;4
1002;0;23.12.2010-11:23:52;7
1002;1;11.01.2011-07:55:50;1
1002;2;20.01.2011-10:59:03;1
1002;3;04.02.2011-10:59:20;4
1003;0;21.09.2011-07:09:20;0
1003;1;26.09.2011-08:52:05;8
1003;2;27.09.2011-10:29:02;8
1003;3;22.10.2011-07:10:49;4
1004;0;22.12.2010-08:35:14;7
1004;1;22.12.2010-08:49:10;1
1004;2;13.01.2011-14:26:36;1
1004;3;18.02.2011-08:40:43;4
1005;0;22.01.2010-11:09:40;1
1005;1;22.01.2010-11:09:51;1
1005;2;22.01.2010-11:09:59;1
1005;3;11.03.2010-11:10:33;4
1006;0;10.10.2012-10:47:41;0
1006;1;25.10.2012-10:23:49;8
1006;2;12.11.2012-08:37:18;11
1006;3;27.11.2012-08:37:28;2
1007;0;25.10.2011-14:35:19;3
1007;1;26.10.2011-07:19:46;15
1007;2;03.11.2011-09:37:15;15
1007;3;08.12.2011-15:40:25;4
1008;0;18.05.2012-12:11:25;0
1008;1;18.05.2012-14:23:17;8
1008;5;18.05.2012-15:07:29;8
1008;2;22.05.2012-07:53:06;8
1008;3;28.06.2012-14:10:31;4
1009;0;21.06.2013-07:11:34;13
1009;1;24.06.2013-10:06:24;1
1009;7;28.06.2013-10:12:09;0
1009;2;17.07.2013-15:38:54;0
1009;3;01.08.2013-15:39:11;2
1010;4;06.09.2011-15:37:27;14
1010;0;06.09.2011-15:44:32;14
1010;1;06.09.2011-15:44:54;14
1010;2;06.09.2011-15:55:58;14
1010;3;22.10.2011-15:40:25;4
1011;0;25.05.2010-15:14:28;1
1011;1;28.05.2010-15:38:09;1
1011;2;28.05.2010-15:38:45;1
1011;3;26.06.2010-15:20:26;4
1012;0;30.11.2011-16:32:54;0
1012;2;12.12.2011-16:50:49;8
1012;3;13.01.2012-16:40:37;4
1013;0;28.12.2010-10:41:06;7
1013;1;30.12.2010-08:50:44;5
1013;5;30.12.2010-08:51:13;5
1013;1;13.01.2011-16:53:03;5
1013;2;13.01.2011-16:55:17;5
1013;3;28.01.2011-16:55:37;4
1014;0;10.02.2012-14:44:10;0
1014;1;10.02.2012-15:48:04;1
1014;2;15.02.2012-11:07:17;1
1014;3;14.03.2012-14:50:15;4
1015;0;13.04.2011-07:43:01;7
1015;1;13.04.2011-07:45:30;7
1015;2;13.04.2011-14:57:33;15
1015;3;11.06.2011-07:50:56;4
1016;0;07.09.2012-12:24:46;0
1016;1;10.09.2012-09:51:17;2
1016;5;17.09.2012-09:56:36;3
1016;2;02.10.2012-07:03:02;3
1016;2;02.10.2012-07:03:22;3
1016;3;17.10.2012-07:03:17;2
1017;0;16.09.2010-09:03:22;13
1017;1;16.09.2010-09:48:31;13
1017;2;21.09.2010-08:24:19;1
1017;3;05.11.2010-09:24:51;4
1018;0;14.02.2013-15:35:55;0
1018;1;04.03.2013-08:12:43;1
1018;5;04.03.2013-08:33:32;0
1018;2;04.03.2013-10:43:19;0
1018;3;19.03.2013-10:43:39;2
1019;0;15.05.2012-08:09:38;3
1019;1;15.05.2012-08:09:57;3
1019;5;28.05.2012-15:21:32;3
1019;2;04.06.2012-10:49:46;3
1019;3;06.07.2012-13:30:28;4
1020;0;18.05.2010-14:59:36;5
1020;1;19.05.2010-08:08:06;1
1020;2;20.05.2010-10:17:39;1
1020;3;25.06.2010-15:01:30;4
1021;0;05.01.2012-16:55:40;0
1021;0;05.01.2012-16:55:53;0
1021;1;11.01.2012-11:59:45;1
1021;2;12.01.2012-10:39:39;1
1021;3;07.02.2012-17:00:35;4
1022;0;12.03.2013-09:39:30;0
1022;2;28.03.2013-13:14:48;1
1022;2;28.03.2013-13:14:48;1
1022;3;12.04.2013-12:15:06;2
1023;0;14.07.2011-07:22:19;12
1023;0;15.07.2011-10:40:41;14
1023;1;15.07.2011-12:44:17;14
1023;2;18.07.2011-08:33:09;14
1023;3;20.08.2011-07:31:38;4
1024;0;18.03.2011-09:41:58;7
1024;1;18.03.2011-09:42:34;7
1024;5;25.03.2011-14:24:59;1
1024;1;20.04.2011-15:42:11;1
1024;2;20.04.2011-15:42:20;1
1024;3;05.05.2011-15:42:36;4
1025;0;13.05.2013-15:56:12;13
1025;1;20.05.2013-08:37:45;1
1025;7;20.05.2013-08:38:03;3
1025;2;04.06.2013-16:04:46;3
1025;3;19.06.2013-16:05:00;2
1026;0;16.04.2013-13:36:13;0
1026;1;29.04.2013-08:23:18;1
1026;5;29.04.2013-15:18:01;13
1026;2;15.05.2013-09:33:16;13
1026;3;30.05.2013-09:33:30;2
1027;0;28.12.2010-08:31:42;7
1027;1;14.01.2011-10:45:45;5
1027;2;14.01.2011-10:46:06;5
1027;3;29.01.2011-10:46:26;4
1028;0;09.05.2012-09:25:28;0
1028;1;09.05.2012-13:22:38;9
1028;2;09.05.2012-13:40:52;0
1028;3;09.06.2012-09:30:28;4
1029;0;04.02.2010-09:40:52;1
1029;0;04.02.2010-09:41:05;1
1029;1;04.02.2010-09:41:23;1
1029;6;04.02.2010-09:41:33;1
1029;2;22.02.2010-14:05:31;1
1029;3;09.03.2010-14:05:44;4
1030;0;24.02.2011-13:41:36;7
1030;1;24.02.2011-13:41:54;7
1030;5;07.03.2011-16:53:23;8
1030;1;25.03.2011-09:53:46;8
1030;2;25.03.2011-09:54:11;8
1030;3;15.04.2011-14:50:58;4
1031;0;11.04.2012-15:07:25;0
1031;1;11.04.2012-15:07:34;0
1031;5;17.04.2012-12:29:31;0
1031;2;15.05.2012-12:31:57;0
1031;3;01.06.2012-15:20:26;4
1032;0;10.11.2011-08:25:05;0
1032;1;18.11.2011-11:29:26;1
1032;5;23.11.2011-16:07:21;1
1032;2;12.12.2011-09:40:33;1
1032;3;29.12.2011-11:10:47;4
1033;0;13.12.2011-08:22:23;0
1033;1;13.12.2011-08:27:18;3
1033;2;13.12.2011-11:50:30;3
1033;3;13.01.2012-08:30:30;4
1034;0;20.12.2010-13:19:58;8
1034;0;20.12.2010-16:42:41;1
1034;1;20.12.2010-16:42:50;1
1034;5;21.12.2010-08:59:57;8
1034;1;22.12.2010-16:57:41;1
1034;2;22.12.2010-16:58:03;1
1034;3;21.01.2011-16:58:17;4
1035;0;29.05.2012-15:38:19;0
1035;1;29.05.2012-15:38:27;0
1035;5;30.05.2012-14:35:37;0
1035;1;30.05.2012-15:32:51;0
1035;2;01.06.2012-12:40:27;0
1035;3;30.06.2012-07:41:01;4
1036;0;24.10.2011-10:11:15;3
1036;1;24.10.2011-10:19:04;0
1036;2;24.10.2011-11:02:57;0
1036;3;09.12.2011-11:20:28;4
1037;0;24.07.2012-15:29:40;0
1037;1;25.07.2012-13:33:25;3
1037;2;25.07.2012-13:53:33;3
1037;3;01.09.2012-08:14:01;4
1038;0;28.06.2012-10:14:33;0
1038;1;28.06.2012-10:55:42;3
1038;2;29.06.2012-14:35:15;3
1038;3;31.07.2012-10:20:39;4
1039;0;20.02.2012-08:07:43;0
1039;1;20.02.2012-08:07:57;0
1039;2;21.02.2012-16:35:15;0
1039;3;04.04.2012-07:10:38;4
1040;0;02.05.2012-10:44:47;0
1040;1;02.05.2012-10:44:54;0
1040;2;08.05.2012-08:37:30;0
1040;3;09.06.2012-10:50:29;4
1041;0;23.05.2012-08:22:52;0
1041;1;23.05.2012-10:07:38;8
1041;2;23.05.2012-14:24:29;8
1041;3;23.06.2012-08:30:21;4
1042;0;15.11.2012-08:29:06;3
1042;1;19.11.2012-15:26:43;1
1042;5;22.11.2012-16:04:35;1
1042;2;17.12.2012-09:28:26;1
1042;3;01.01.2013-09:28:46;2
1043;0;13.05.2010-14:45:13;1
1043;1;17.05.2010-16:21:00;15
1043;2;17.05.2010-17:10:24;15
1043;1;18.05.2010-08:21:15;15
1043;5;18.05.2010-08:44:56;15
1043;1;18.05.2010-09:26:17;15
1043;2;18.05.2010-09:28:09;15
1043;3;26.06.2010-14:50:32;4
1044;0;24.06.2011-10:10:25;8
1044;1;27.06.2011-13:36:12;1
1044;2;27.06.2011-13:37:30;1
1044;3;22.08.2011-10:20:40;4
1045;0;02.04.2012-08:42:04;0
1045;1;02.04.2012-08:42:15;0
1045;2;02.04.2012-10:12:04;0
1045;3;18.05.2012-08:52:05;4
1046;0;14.07.2011-10:17:31;12
1046;0;15.07.2011-07:34:30;12
1046;1;15.07.2011-09:49:56;6
1046;5;15.07.2011-09:51:05;6
1046;2;15.07.2011-13:18:05;1
1046;3;27.08.2011-10:20:45;4
1047;0;13.12.2010-10:53:33;8
1047;1;13.12.2010-10:53:45;8
1047;5;13.12.2010-10:54:14;8
1047;1;30.12.2010-08:41:02;8
1047;2;30.12.2010-08:41:14;8
1047;3;19.01.2011-08:50:44;4
1048;0;09.02.2012-14:14:35;0
1048;1;09.02.2012-14:15:26;0
1048;2;14.02.2012-16:45:38;1
1048;2;14.02.2012-16:45:38;1
1048;3;24.03.2012-14:20:38;4
1049;0;12.05.2011-08:27:06;7
1049;1;12.05.2011-08:27:37;7
1049;5;13.05.2011-10:46:18;8
1049;1;20.05.2011-07:05:57;8
1049;2;20.05.2011-07:06:09;8
1049;1;07.06.2011-09:09:31;8
1049;5;08.06.2011-08:09:20;8
1049;1;08.06.2011-12:44:40;8
1049;2;08.06.2011-12:44:48;8
1049;3;23.06.2011-12:44:59;4
1050;0;27.12.2010-08:06:01;8
1050;1;27.12.2010-14:46:09;1
1050;2;18.01.2011-11:26:09;1
1050;3;02.02.2011-11:26:23;4
1051;0;03.02.2011-14:26:08;7
1051;1;03.02.2011-16:19:25;7
1051;2;03.02.2011-16:20:49;7
1051;3;03.04.2011-13:30:41;4
1052;0;30.06.2011-14:53:16;7
1052;0;30.06.2011-14:53:32;7
1052;1;05.07.2011-14:22:24;8
1052;5;05.07.2011-14:26:48;8
1052;2;20.07.2011-13:19:43;8
1052;3;04.08.2011-13:20:00;4
1053;0;07.02.2013-13:32:19;3
1053;1;07.02.2013-13:32:43;1
1053;5;15.02.2013-11:48:40;1
1053;2;01.03.2013-13:51:27;3
1053;3;16.03.2013-13:51:45;2
1054;0;23.01.2012-15:13:31;3
1054;1;23.01.2012-16:49:47;12
1054;2;24.01.2012-14:19:03;12
1054;3;23.02.2012-15:20:47;4
1055;0;06.06.2012-12:08:26;0
1055;1;06.06.2012-12:08:43;0
1055;2;06.06.2012-15:16:31;0
1055;3;07.07.2012-12:10:46;4
1056;0;10.01.2013-16:49:27;12
1056;1;11.01.2013-11:57:25;1
1056;7;18.01.2013-15:35:16;1
1056;5;18.01.2013-15:35:51;1
1056;2;18.02.2013-09:37:33;1
1056;3;05.03.2013-09:37:48;2
1057;0;28.06.2012-12:24:41;0
1057;1;28.06.2012-12:25:05;0
1057;5;13.07.2012-13:26:12;0
1057;2;18.07.2012-15:43:16;0
1057;3;02.08.2012-15:43:35;4
1058;0;09.01.2012-07:53:54;3
1058;1;09.01.2012-09:30:45;3
1058;2;09.01.2012-10:31:05;3
1058;3;19.02.2012-17:00:46;4
1059;0;02.09.2011-13:25:55;12
1059;1;14.09.2011-13:30:44;12
1059;2;19.09.2011-13:56:27;12
1059;3;04.10.2011-13:56:37;4
1060;0;21.06.2011-08:55:05;7
1060;0;21.06.2011-08:55:21;7
1060;1;27.06.2011-09:24:28;12
1060;5;20.07.2011-13:14:44;12
1060;2;28.07.2011-09:26:55;12
1060;3;12.08.2011-09:27:14;4
1061;1;11.01.2012-16:46:12;0
1061;5;12.01.2012-13:49:28;0
1061;2;07.02.2012-15:06:45;0
1061;3;09.03.2012-09:11:08;4
1062;0;11.07.2012-14:48:16;0
1062;1;11.07.2012-14:48:28;0
1062;2;11.07.2012-15:24:11;0
1062;3;02.09.2012-14:50:27;4
1063;0;21.05.2012-15:39:11;3
1063;1;22.05.2012-07:34:16;0
1063;2;29.05.2012-07:08:42;0
1063;3;13.07.2012-15:41:15;4
1064;0;22.08.2011-14:39:21;12
1064;2;25.08.2011-12:58:59;8
1064;3;22.09.2011-14:40:15;4
1065;0;24.05.2012-09:32:06;0
1065;1;25.05.2012-09:42:28;1
1065;2;25.05.2012-12:30:22;1
1065;3;11.07.2012-09:40:38;4
1066;0;14.02.2012-10:34:26;3
1066;1;14.02.2012-11:48:20;12
1066;2;16.02.2012-11:40:57;12
1066;3;23.03.2012-10:40:44;4
1067;0;15.05.2012-08:49:37;0
1067;1;18.05.2012-12:33:18;8
1067;2;21.05.2012-13:18:53;8
1067;3;07.07.2012-08:50:39;4
1068;0;21.06.2011-14:09:39;7
1068;1;21.06.2011-14:10:08;7
1068;2;21.06.2011-14:10:56;7
1068;3;24.07.2011-14:11:08;4
1069;0;23.11.2012-08:40:05;0
1069;1;27.11.2012-12:09:04;1
1069;2;27.11.2012-12:16:27;15
1069;1;30.11.2012-14:58:54;15
1069;5;05.12.2012-09:59:17;15
1069;2;13.12.2012-17:39:38;15
1069;3;28.12.2012-17:39:52;2
1070;0;18.05.2011-09:38:14;7
1070;1;18.05.2011-09:38:35;7
1070;2;23.05.2011-10:35:13;12
1070;3;01.07.2011-09:40:32;4
1071;0;17.07.2012-10:43:08;0
1071;0;18.07.2012-14:58:04;12
1071;1;18.07.2012-14:58:17;12
1071;2;20.07.2012-13:17:21;0
1071;3;01.09.2012-10:50:21;4
1072;0;30.12.2011-08:47:19;0
1072;1;02.01.2012-08:40:49;8
1072;2;02.01.2012-09:45:20;8
1072;3;08.02.2012-08:50:32;4
1073;0;28.10.2011-10:45:32;0
1073;1;02.11.2011-16:41:16;12
1073;5;10.11.2011-14:21:37;12
1073;2;17.11.2011-13:49:37;12
1073;3;07.12.2011-11:10:25;4
1074;0;07.08.2012-10:01:46;12
1074;1;23.08.2012-07:05:34;2
1074;2;05.09.2012-08:54:11;1
1074;3;20.09.2012-08:54:27;2
1075;0;24.04.2012-15:48:55;12
1075;1;30.04.2012-14:02:06;0
1075;5;08.05.2012-09:17:42;0
1075;2;15.05.2012-12:31:15;0
1075;3;14.06.2012-12:31:39;4
1076;0;01.09.2010-15:21:14;13
1076;0;02.09.2010-07:28:41;1
1076;1;09.09.2010-10:02:08;1
1076;2;09.09.2010-10:18:11;1
1076;3;30.10.2010-15:31:26;4
1077;0;09.02.2011-11:06:02;7
1077;1;09.02.2011-11:08:31;7
1077;2;09.02.2011-14:12:01;7
1077;2;09.02.2011-14:12:02;7
1077;3;16.03.2011-11:10:57;4
1078;0;23.10.2013-07:07:54;17
1078;1;23.10.2013-07:42:54;1
1078;5;23.10.2013-08:21:51;1
1078;5;23.10.2013-08:21:51;1
1078;2;18.11.2013-15:53:04;1
1078;3;03.12.2013-15:53:16;2
1079;4;09.06.2010-10:33:30;10
1079;0;09.06.2010-10:33:39;10
1079;1;09.06.2010-10:34:14;10
1079;5;09.06.2010-10:50:30;10
1079;1;30.06.2010-15:52:44;10
1079;2;30.06.2010-15:54:13;10
1079;3;15.07.2010-15:54:29;4
1080;0;14.11.2011-10:15:37;0
1080;1;16.11.2011-16:08:22;8
1080;5;17.11.2011-08:31:09;8
1080;2;22.11.2011-16:37:07;8
1080;3;28.12.2011-09:20:21;4
1081;0;22.08.2011-09:38:09;12
1081;1;29.08.2011-08:23:11;12
1081;2;19.09.2011-13:03:33;12
1081;3;19.10.2011-13:03:55;4
1082;0;28.02.2012-16:02:22;8
1082;0;28.02.2012-16:02:42;8
1082;1;28.02.2012-16:55:56;10
1082;2;28.02.2012-16:56:41;10
1082;3;30.03.2012-15:10:24;4
1083;0;24.04.2012-08:13:17;1
1083;1;23.05.2012-15:46:12;3
1083;2;30.05.2012-07:20:16;3
1083;3;14.06.2012-07:20:36;4
1084;0;30.09.2010-09:29:04;11
1084;1;04.10.2010-08:40:12;11
1084;11;04.10.2010-08:41:36;11
1084;1;05.10.2010-07:33:37;1
1084;5;05.10.2010-07:34:10;1
1084;1;05.10.2010-07:34:51;1
1084;2;05.10.2010-07:34:59;1
1084;3;18.11.2010-09:20:48;4
1085;0;24.07.2012-07:42:04;0
1085;1;24.07.2012-07:43:06;0
1085;2;30.07.2012-09:52:47;0
1085;3;08.09.2012-07:51:51;4
1086;0;28.01.2013-11:21:15;12
1086;1;28.01.2013-15:44:24;1
1086;5;29.01.2013-15:31:26;0
1086;2;30.01.2013-14:02:01;0
1086;1;13.02.2013-10:47:06;3
1086;2;13.02.2013-11:23:44;3
1086;3;28.02.2013-11:24:00;2
1087;0;02.04.2013-12:24:40;1
1087;2;18.04.2013-09:24:14;0
1087;2;18.04.2013-09:24:14;0
1087;3;03.05.2013-09:24:29;2
1088;0;10.03.2011-14:37:52;7
1088;1;10.03.2011-14:38:31;7
1088;5;10.03.2011-14:44:28;1
1088;1;30.03.2011-10:26:44;1
1088;2;30.03.2011-10:26:55;1
1088;3;29.04.2011-10:27:10;4
1089;0;28.05.2012-14:40:01;3
1089;1;30.05.2012-10:47:50;0
1089;2;30.05.2012-14:02:45;0
1089;2;30.05.2012-14:02:45;0
1089;3;28.06.2012-14:50:42;4
1090;1;22.11.2011-11:03:51;0
1090;5;23.11.2011-10:43:12;12
1090;2;02.12.2011-13:30:54;12
1090;3;24.12.2011-14:00:27;4
1091;0;12.07.2012-13:22:39;0
1091;2;12.07.2012-13:58:17;0
1091;3;03.09.2012-13:30:39;4
1092;0;13.01.2012-16:27:38;1
1092;2;13.01.2012-16:34:53;1
1092;3;17.02.2012-16:30:54;4
1093;0;13.06.2012-07:45:34;3
1093;1;13.06.2012-10:27:30;12
1093;2;18.06.2012-14:50:52;12
1093;3;27.07.2012-07:50:32;4
1094;0;26.09.2011-15:01:58;0
1094;0;28.09.2011-15:28:26;1
1094;2;28.09.2011-15:28:35;1
1094;3;11.11.2011-16:12:58;4
1095;0;21.11.2012-16:09:29;0
1095;1;27.11.2012-13:09:39;0
1095;2;12.12.2012-09:44:27;0
1095;3;27.12.2012-09:44:41;2
1096;0;08.04.2010-13:02:28;1
1096;1;08.04.2010-13:02:52;1
1096;6;09.04.2010-09:34:14;1
1096;2;03.05.2010-15:25:42;1
1096;1;06.05.2010-07:41:12;5
1096;2;06.05.2010-13:36:31;11
1096;3;21.05.2010-13:36:47;4
1097;0;08.07.2011-13:48:51;5
1097;0;13.07.2011-16:01:04;1
1097;1;13.07.2011-16:01:28;12
1097;2;21.07.2011-15:51:24;12
1097;3;10.08.2011-13:50:19;4
1098;0;23.06.2010-15:01:22;13
1098;1;28.06.2010-11:07:41;15
1098;2;28.06.2010-11:08:00;15
1098;3;06.08.2010-15:11:06;4
1099;0;22.10.2010-12:35:14;1
1099;1;22.10.2010-12:40:36;1
1099;5;26.10.2010-10:16:18;1
1099;1;05.11.2010-14:10:58;1
1099;2;05.11.2010-14:11:21;1
1099;3;04.12.2010-15:41:48;4
1100;0;02.08.2012-09:12:34;3
1100;1;02.08.2012-09:14:39;3
1100;2;10.08.2012-14:50:38;3
1100;3;09.09.2012-14:51:02;4
1101;0;31.07.2012-13:05:19;0
1101;1;31.07.2012-15:14:45;0
1101;2;07.08.2012-10:53:38;3
1101;2;07.08.2012-10:53:39;3
1101;3;07.09.2012-13:11:10;4
1102;0;26.07.2012-10:09:20;0
1102;1;26.07.2012-10:22:56;5
1102;2;27.07.2012-08:54:16;5
1102;3;08.09.2012-10:10:41;4
1103;0;14.12.2012-15:08:04;0
1103;1;02.01.2013-09:05:43;1
1103;2;23.01.2013-09:39:01;3
1103;3;07.02.2013-09:39:18;2
1104;0;18.10.2011-12:06:24;3
1104;0;18.10.2011-13:17:30;5
1104;0;18.10.2011-13:17:31;5
1104;1;20.10.2011-07:45:22;8
